cntry,pplfair,pplhlp,ppltrst,implvdm,trstlgl,trstplc,trstplt,trstprl,trstprt,trstsci
FI,7,7,7,9,8,9,7,8,7,6
FI,7,7,8,8,5,7,5,5,5,7
FI,7,7,7,9,8,9,6,4,6,8
FI,4,7,6,10,8,8,8,8,4,8
FI,7,3,7,10,9,10,5,8,5,8
FI,7,7,7,9,9,9,7,8,8,9
FI,8,10,10,10,10,10,8,10,8,9
FI,8,5,5,10,8,6,7,5,6,6
FI,7,4,7,10,8,9,5,8,7,10
FI,5,3,6,10,8,8,3,4,4,7
FI,7,8,7,8,7,9,4,3,4,8
FI,10,10,10,10,10,10,9,10,9,9
FI,8,8,6,9,7,8,7,7,7,7
FI,9,6,8,10,9,9,7,8,7,9
FI,8,8,7,10,9,10,7,9,4,10
FI,8,7,9,10,8,9,7,7,7,10
FI,7,8,7,10,9,10,7,9,7,9
FI,3,6,7,10,8,9,2,2,0,4
FI,5,0,9,9,5,8,6,5,8,9
FI,8,9,9,10,9,10,7,8,7,10
FI,7,4,5,10,9,9,6,8,6,9
FI,7,7,7,9,9,9,6,7,7,8
FI,7,4,3,10,9,8,6,9,6,7
FI,6,8,4,7,5,8,2,4,3,7
FI,8,7,4,10,9,9,5,3,4,8
FI,8,5,7,8,4,6,4,4,4,7
FI,9,5,7,10,9,9,5,7,6,6
FI,5,2,8,10,8,9,5,6,5,8
FI,7,4,5,9,6,9,4,5,5,7
FI,5,7,7,8,7,7,5,6,3,7
FI,5,5,5,8,3,5,5,5,5,3
FI,6,7,7,10,9,9,7,8,8,10
FI,8,8,5,10,6,6,4,4,7,7
FI,4,4,5,10,6,8,1,3,0,7
FI,5,5,5,8,5,7,5,5,5,5
FI,8,9,6,10,8,10,5,4,8,9
FI,7,5,8,10,10,10,5,8,3,9
FI,5,4,6,9,6,7,6,7,5,7
FI,6,6,4,9,6,7,6,6,6,6
