cntry,ppltrst,pplfair,pplhlp,trstprl,trstlgl,trstplc,trstplt,trstprt,trstsci,implvdm
BE,9,8,8,6,7,8,7,6,8,10
BE,0,10,8,5,5,5,0,5,7,8
BE,3,7,8,2,2,8,1,0,8,8
BE,9,9,7,3,7,5,2,0,7,9
BE,6,4,3,7,7,8,6,6,8,10
BE,1,6,3,4,4,3,2,3,5,7
BE,4,5,7,4,5,7,4,3,8,7
BE,9,9,6,8,8,8,8,8,8,10
BE,4,3,3,8,3,6,7,5,9,10
BE,6,6,3,7,8,8,6,5,7,9
BE,8,7,9,7,7,9,6,6,8,10
BE,6,5,6,4,5,6,2,3,7,9
BE,5,8,5,5,4,7,3,3,8,10
BE,2,8,6,2,0,8,0,0,5,10
BE,8,6,7,6,7,6,7,7,10,10
BE,10,9,9,9,9,10,9,8,8,10
BE,5,7,6,6,6,5,5,5,5,10
BE,3,7,5,3,3,7,7,7,7,7
BE,6,6,5,6,6,8,5,5,7,8
BE,7,7,7,2,2,10,6,0,8,10
BE,8,9,10,6,8,8,6,6,10,7
BE,5,5,6,6,7,8,6,5,7,8
BE,7,7,4,6,6,7,5,5,9,10
BE,7,7,6,7,8,8,8,7,10,9
BE,4,6,5,7,7,8,6,7,7,10
BE,9,9,8,7,8,7,8,7,7,10
BE,4,5,4,4,5,4,4,5,6,9
BE,7,7,4,6,8,8,6,6,7,10
BE,7,7,7,7,6,7,7,7,8,8
BE,8,7,7,6,6,7,7,7,8,8
BE,0,5,2,2,3,2,2,3,3,10
BE,7,7,7,3,4,5,4,3,5,9
BE,8,9,5,7,7,7,5,5,8,8
BE,6,5,8,5,6,8,6,6,8,7
BE,7,7,5,3,7,8,4,5,8,8
BE,3,5,2,2,4,7,3,1,5,9
BE,5,6,6,6,6,7,4,4,7,7
BE,6,5,4,9,0,5,0,0,8,9
BE,6,0,3,6,9,8,5,5,9,9
BE,5,5,5,2,5,6,3,3,8,3
BE,2,5,4,6,5,6,4,4,6,8
BE,8,8,7,6,7,8,6,5,8,10
BE,5,4,3,2,5,3,0,1,9,8
BE,5,5,4,6,6,5,3,3,7,10
BE,1,6,5,0,0,1,0,0,6,6
BE,5,6,4,5,5,5,4,5,6,7
BE,4,4,6,1,3,4,0,0,6,6
BE,8,7,5,2,3,6,2,2,6,8
BE,5,7,7,6,6,8,8,7,8,6
BE,10,9,6,8,9,9,7,7,8,8
BE,7,8,5,7,5,8,5,4,8,10
BE,4,6,7,6,6,6,6,6,7,8
BE,3,3,3,2,1,5,1,1,6,10
BE,5,6,4,4,6,6,4,4,6,10
BE,6,5,4,3,4,6,5,3,4,8
BE,7,2,6,5,5,8,5,5,9,8
BE,5,5,9,5,7,7,7,8,4,10
BE,3,4,5,4,3,7,3,4,9,9
BE,8,2,7,8,8,8,6,6,10,10
BE,4,8,5,6,5,4,4,4,6,7
BE,9,9,8,9,9,9,8,7,9,10
BE,3,5,5,1,1,1,1,1,6,8
